scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold67.1.1	26.576875	2.73462029940409	22	25	26	28	32	1394.62467111509
superscaffold62.9.1	16.0864583333333	1.86260285404248	13	15	16	17	20	3958.1398939578
superscaffold62.8.1	31.4225	2.57049676836486	27	30	31	33	37	2611.77142359256
superscaffold62.7.1	25.6710416666667	3.91303608263058	18	23	26	29	33	405.001286153425
superscaffold62.6.1	29.8339583333333	2.88332050799719	25	28	30	32	36	2104.83588462947
superscaffold62.5.1	27.0295833333333	2.36966130057591	23	25	27	29	32	3158.06127095725
superscaffold62.4.1	29.7520833333333	2.17474656997231	26	28	30	31	34	2578.22998370284
superscaffold62.3.1	31.7395833333333	2.89024338196175	26	30	32	34	38	814.908500312311
superscaffold62.2.1	42.5933333333333	2.60899859222529	38	41	42	44	48	673.329329072374
superscaffold62.1.1	34.6477083333333	2.78579115872129	29	33	35	36	40	1912.43108373635
superscaffold36.12.1	12.7354166666667	1.3737013732772	11	12	13	14	16	4471.25049976088
superscaffold36.11.1	35.3510416666667	2.61933339560151	31	34	35	37	41	1363.47739188162
superscaffold36.10.1	40.6741666666667	2.75136203617563	35	39	41	42	46	906.682254511707
superscaffold36.9.1	33.8975	2.82324948484505	28	32	34	36	40	587.911412063074
superscaffold36.8.1	39.735625	1.96348772431883	36	38	40	41	44	1150.09191728976
superscaffold36.7.1	32.4670833333333	2.61500627088411	27	31	32	34	38	454.503860406737
superscaffold36.6.1	38.3477083333333	3.0248906576367	32	36	38	40	44	420.334888623545
superscaffold36.5.1	43.7695833333333	2.92167529542836	38	42	44	46	50	555.652041274236
superscaffold36.4.1	31.4920833333333	2.98547219223349	26	29	31	33	38	242.533977570465
superscaffold36.3.1	31.1752083333333	3.42999680119272	25	29	31	33	38	189.915488561292
superscaffold36.2.1	31.3510416666667	2.47468932725795	27	30	31	33	36	517.225186138369
superscaffold36.1.1	37.325625	2.67212416957378	32	35	37	39	43	2172.44355041566
