scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold54.39.1	41.3591666666667	3.79729114212478	34	39	41	44	49	476.144420145083
superscaffold54.38.1	35.55875	2.76432157039121	31	34	35	37	41	2220.1741766472
superscaffold54.37.1	46.73625	3.09588695610957	41	45	47	49	53	1194.16962285245
superscaffold54.36.1	43.3558333333333	3.01493941779791	38	41	43	45	49	2202.84346717245
superscaffold54.35.1	38.4402083333333	2.51674284319888	34	37	38	40	44	2021.95668403437
superscaffold54.34.1	43.4679166666667	2.83030732305881	38	42	43	45	49	1333.09667597459
superscaffold54.33.1	34.6179166666667	2.62027849291377	30	33	35	36	40	2309.8077479539
superscaffold54.32.1	37.2704166666667	2.54384347929441	33	36	37	39	42.0249999999996	2600.56811639695
superscaffold54.31.1	36.123125	2.50534885702468	32	34	36	38	42	3104.66206337359
superscaffold54.30.1	46.2666666666667	2.60149934595072	42	44	46	48	52	3125.25734462868
superscaffold54.29.1	37.3133333333333	3.01841078046828	32	35	37	39	44	2920.72391589943
superscaffold54.28.1	37.194375	3.05556134300369	32	35	37	39	43.0249999999996	1450.32258878769
superscaffold54.27.1	44.364375	3.35040213131951	38	42	44	47	51	760.788063922796
superscaffold54.26.1	36.2789583333333	2.80703558938914	31	34	36	38	42	1010.31551248201
superscaffold54.25.1	32.993125	2.65705950763822	28	31	33	35	39	2722.21441328633
superscaffold54.24.1	43.5858333333333	3.01799274307665	38	42	44	46	49	797.384760479316
superscaffold54.23.1	36.610625	2.82139217921272	32	35	36	38	42	1733.86157550442
superscaffold54.22.1	30.045625	3.22546546229017	24	28	30	32	37	1156.71946067794
superscaffold54.21.1	55.3389583333333	3.24904059738121	49	53	55	58	62	483.675466906716
superscaffold54.20.1	45.85375	2.68369050526851	41	44	46	48	51	1096.20316701281
superscaffold54.19.1	51.4077083333333	3.0905995439534	45	49	51	53	58	1104.45548742724
superscaffold54.18.1	40.6191666666667	2.59625440152027	36	39	40	42	46	3135.02107538723
superscaffold54.17.1	39.3275	2.78735759585307	35	37	39	41	45	2074.82037970199
superscaffold54.16.1	41.208125	3.19789350093162	35	39	41	43	48	1963.54264351055
superscaffold54.15.1	41.0827083333333	3.09366744232979	35	39	41	43	47	967.038587618768
superscaffold54.14.1	38.7627083333333	3.17098762067111	33	37	39	41	45	1436.62398235089
superscaffold54.13.1	40.9547916666667	2.9453305121374	35	39	41	43	47	1889.2301928928
superscaffold54.12.1	41.874375	2.77934992815403	37	40	42	44	48	1906.68171247336
superscaffold54.11.1	42.0872916666667	3.24586148067872	36	40	42	44	49	1403.83888358417
superscaffold54.10.1	47.946875	3.12093713802506	42	46	48	50	54	1350.02985502707
superscaffold54.9.1	38.4002083333333	2.2653794630526	35	37	38	40	43	2196.69993767961
superscaffold54.8.1	37.866875	2.65373068416365	33	36	38	40	43	795.748115947053
superscaffold54.7.1	45.52875	2.96046156426217	40	43	45	48	51	1458.81232005759
superscaffold54.6.1	32.5941666666667	3.31261509502671	26	30	32	35	39	1519.47157749847
superscaffold54.5.1	35.9645833333333	3.58558559811446	29	33	36	38	43	468.557027364593
superscaffold54.4.1	44.2975	3.71654473000825	37	42	44	47	52	462.556078647424
superscaffold54.3.1	42.9241666666667	2.88193736304356	38	41	43	45	49	1024.53548478614
superscaffold54.2.1	44.1020833333333	3.14734957861494	38	42	44	46	50	845.450040615235
superscaffold54.1.1	35.0127083333333	2.42281236425336	31	33	35	37	40	1930.83696878276
superscaffold26.174.1	39.3625	3.14759025964184	33	37	39	42	45	148.232871483235
superscaffold26.173.1	47.784375	2.83033562956675	43	46	48	50	54	958.885659873101
superscaffold26.172.1	44.5214583333333	2.58466915622652	40	43	44	46	50	1380.92934090251
superscaffold26.171.1	48.8547916666667	3.14230753482181	43	47	49	51	55	1680.44982681192
superscaffold26.170.1	44.1095833333333	2.57952729550941	39	42	44	46	49	503.246427644927
superscaffold26.169.1	46.978125	3.22907139731795	41	45	47	49	53	547.694882464858
superscaffold26.168.1	49.943125	3.37246344910745	43	48	50	52	57	362.187817540465
superscaffold26.167.1	42.205625	3.00433971469194	37	40	42	44	49	1109.85763764341
superscaffold26.166.1	35.9347916666667	3.14922303239805	30	34	36	38	42	550.593682716121
superscaffold26.165.1	41.4277083333333	2.9431267665398	36	39	41	43	47	358.082180260794
superscaffold26.164.1	45.7477083333333	3.39303783188812	39	43	46	48	52	314.643842817031
superscaffold26.163.1	45.0102083333333	3.4370018661344	39	43	45	47	52	329.459327239191
superscaffold26.162.1	40.8945833333333	3.20055017041537	35	39	41	43	47	382.540687086653
superscaffold26.161.1	40.2754166666667	3.05325036861266	34	38	40	42	46	569.650014016114
superscaffold26.160.1	35.5760416666667	2.76849497907993	30	34	35	37	41	312.939071276158
superscaffold26.159.1	40.6552083333333	2.35159076348621	37	39	40	42	46	590.305906799177
superscaffold26.158.1	40.5839583333333	2.01671308090445	37	39	40	42	45	322.503396041157
superscaffold26.157.1	44.9016666666667	2.58498343023386	40	43	45	47	50	661.615485826055
superscaffold26.156.1	36.9025	2.62358109182156	32	35	37	39	42	759.346170800647
superscaffold26.155.1	34.2925	2.53548806526677	30	33	34	36	40	1354.63720067546
superscaffold26.154.1	54.1841666666667	2.80063386488636	49	52	54	56	60	642.066714725933
superscaffold26.153.1	46.0308333333333	3.01401313803066	41	44	46	48	52	262.517027559757
superscaffold26.152.1	53.9635416666667	3.09017829156413	49	52	54	56	60	79.9733768763077
superscaffold26.151.1	40.3939583333333	2.91442242168577	35	38	40	42	46	1053.91601947332
superscaffold26.150.1	46.11875	3.42320606424489	40	44	46	48	53	245.878009395506
superscaffold26.149.1	50.6766666666667	2.83483622995217	46	49	51	53	56	813.550956174239
superscaffold26.148.1	51.0660416666667	2.91521022835197	46	49	51	53	57	334.108344348801
superscaffold26.147.1	36.5475	4.08186618961408	29	34	36	39	45	106.378741483016
superscaffold26.146.1	37.8385416666667	3.07385881262145	32	36	38	40	44	442.619472412542
superscaffold26.145.1	41.3589583333333	2.30134973993036	37	40	41	43	46	1577.29375227793
superscaffold26.144.1	41.2989583333333	2.98324817946559	36	39	41	43	47	337.586238132192
superscaffold26.143.1	49.1620833333333	2.20476567908239	45	48	49	51	53	326.254180664006
superscaffold26.142.1	42.934375	2.68520399774042	38	41	43	45	48	354.517409432438
superscaffold26.141.1	39.471875	2.57984409737967	35	38	39	41	45	377.052581621087
superscaffold26.140.1	37.6479166666667	2.57324376801264	33	36	38	39	43	256.207179499117
superscaffold26.139.1	45.0585416666667	2.84600046521117	40	43	45	47	51	998.87906889291
superscaffold26.138.1	47.9272916666667	2.4777242544465	44	46	48	50	53	628.447155655097
superscaffold26.137.1	42.485	2.97957623785655	37	40	42	44	49	1385.34285555282
superscaffold26.136.1	44.9979166666667	2.88090982475173	40	43	45	47	51	676.778962245654
superscaffold26.135.1	47.8335416666667	3.15455857422585	42	46	48	50	54	521.965270458798
superscaffold26.134.1	36.135625	2.80039246962903	31	34	36	38	42	1376.24363716345
superscaffold26.133.1	39.6752083333333	3.05457239929644	34	38	39	42	46	868.287760987472
superscaffold26.132.1	44.6004166666667	3.39070715527748	38	42	45	47	51	800.276461772855
superscaffold26.131.1	40.055	2.91490339540483	34	38	40	42	46	683.539510875271
superscaffold26.130.1	37.9083333333333	2.33368060206668	34	36	38	39	43	1066.02244842674
superscaffold26.129.1	44.339375	3.00052638727777	39	42	44	46	50	1312.20323140279
superscaffold26.128.1	46.0954166666667	2.3295978816524	42	45	46	48	51	1451.80898124608
superscaffold26.127.1	42.9254166666667	2.35826828219871	39	41	43	44	48	2243.78201644173
superscaffold26.126.1	48.563125	2.86178349583557	43	47	49	50	54	399.985220982985
superscaffold26.125.1	42.444375	3.36422558383237	36	40	42	45	49	354.541354703144
superscaffold26.124.1	46.4772916666667	2.61463673053971	41	45	47	48	52	411.129368357907
superscaffold26.123.1	37.270625	2.38760509293482	33	36	37	39	42	1124.04215627603
superscaffold26.122.1	38.26875	2.58899978353446	33	36.75	38	40	44	549.060844914328
superscaffold26.121.1	43.3685416666667	3.18385205325129	38	41	43	45	50	380.142599095842
superscaffold26.120.1	50.2252083333333	3.99858147882652	43	47	50	53	58	674.398244530836
superscaffold26.119.1	42.5825	2.78339860107254	38	41	42	44	48	1274.70111663104
superscaffold26.118.1	47.2941666666667	3.04055510426717	42	45	47	49	54	809.450842154626
superscaffold26.117.1	48.5072916666667	3.77839309556245	42	46	48	51	56	538.698799818212
superscaffold26.116.1	41.0345833333333	3.7702916074631	35	38	41	43	49	459.424809364933
superscaffold26.115.1	51.6802083333333	3.37032017673397	45	49	52	54	58	767.566575350732
superscaffold26.114.1	46.48625	2.68352589155925	42	45	46	48	52	1448.35999933691
superscaffold26.113.1	41.2254166666667	3.37902590076837	35	39	41	43	48	535.436506379505
superscaffold26.112.1	49.331875	3.21165319063566	43	47	49	52	55	233.967135870426
superscaffold26.111.1	40.65625	2.82757285745597	36	39	41	42	47	1003.93962235273
superscaffold26.110.1	44.1095833333333	2.90368984301911	39	42	44	46	50	854.938656625208
superscaffold26.109.1	48.7414583333333	2.39825897952554	44	47	49	50	54	1767.3939022322
superscaffold26.108.1	37.1114583333333	2.78923337789343	32	35	37	39	43	967.116693675761
superscaffold26.107.1	46.2897916666667	3.1532338782179	40	44	46	48	53	1318.801685063
superscaffold26.106.1	38.9335416666667	3.65744607796547	32	36	39	41	46	726.343009932714
superscaffold26.105.1	49.6522916666667	3.44427477309506	43	47	50	52	56	357.596419233942
superscaffold26.104.1	40.3545833333333	3.3856917706305	34	38	40	43	47	435.239304356405
superscaffold26.103.1	35.346875	3.21564513675734	29	33	35	37	42	1404.39280794328
superscaffold26.102.1	42.976875	2.73838196830432	38	41	43	45	49	2802.40538331198
superscaffold26.101.1	44.8066666666667	3.42181407413721	38	43	45	47	51	950.345110689182
superscaffold26.100.1	34.7960416666667	2.85041845162747	29	33	35	37	41	2233.84208048093
superscaffold26.99.1	33.6670833333333	3.24443515648176	28	31	33	36	40	1281.02912996905
superscaffold26.98.1	33.5664583333333	2.9492053168208	28	31	33	36	40	1722.07731817311
superscaffold26.97.1	34.4366666666667	2.78524775497783	29	33	34	36	40	819.061281043924
superscaffold26.96.1	34.7083333333333	3.01975390761707	29	33	35	37	41	1916.4133858146
superscaffold26.95.1	36.9008333333333	2.48558237585672	32	35	37	39	42	2859.67152574713
superscaffold26.94.1	41.3975	3.63056328818814	34	39	41	44	49	443.017237382331
superscaffold26.93.1	51.330625	3.17077645420916	45	49	51	53	57	941.051961640264
superscaffold26.92.1	33.1958333333333	2.97856189074539	28	31	33	35	39	2669.50174383268
superscaffold26.91.1	35.98375	2.62677053081272	31	34	36	38	42	1750.37452440764
superscaffold26.90.1	40.679375	3.51478756638283	34	38	41	43	47	766.502692896095
superscaffold26.89.1	37.5091666666667	2.48804587975879	33	36	37	39	43	2759.16766344519
superscaffold26.88.1	41.2625	3.42439095720647	34	39	41	44	48	30.3911414805115
superscaffold26.87.1	44.7458333333333	3.19746450481752	39	43	45	47	51	734.539100478575
superscaffold26.86.1	32.745	2.97379959970052	27	31	33	35	39	764.740307750177
superscaffold26.85.1	38.9672916666667	3.01008462647942	34	37	39	41	46	1883.24757316272
superscaffold26.84.1	35.1704166666667	3.56508850470764	29	33	35	38	43	224.774888667656
superscaffold26.83.1	35.921875	3.21280073863347	29	34	36	38	42	505.360560441222
superscaffold26.82.1	31.6377083333333	2.77693949432276	27	30	31	33	38	3195.07324738159
superscaffold26.81.1	39.2172916666667	3.39595032324853	33	37	39	42	46	864.876353976162
superscaffold26.80.1	37.1614583333333	3.22917357053935	31	35	37	39	44	1244.7122007491
superscaffold26.79.1	38.2233333333333	3.03114989650386	33	36	38	40	44	2946.97366762262
superscaffold26.78.1	38.3589583333333	3.11435567182166	33	36	38	40	45	1670.94003896749
superscaffold26.77.1	37.3510416666667	2.77455675727621	32	35	37	39	43	2306.2145474852
superscaffold26.76.1	41.48375	3.0759888046748	36	39	41	44	48	1282.53417187302
superscaffold26.75.1	51.5408333333333	3.22148951901484	46	49	51	54	58	1305.46377685472
superscaffold26.74.1	30.81	2.87992382571578	25.975	29	31	33	37	1609.63621523691
