scaffold	point_estimate	UPPER_CI
superscaffold93.14	1.00026692230025	1.00080802659861
superscaffold93.13	1.00259178286724	1.00999641057019
superscaffold93.12	1.00010073169578	1.00085742139147
superscaffold93.11	1.00635073943195	1.02345167911173
superscaffold93.10	0.99995124673384	0.999963888830252
superscaffold93.9	1.01052445615863	1.03801920509069
superscaffold93.8	1.14766539550867	1.43545461187039
superscaffold93.7	1.00042339924929	1.00183842208859
superscaffold93.6	1.0060198572474	1.0113044790725
superscaffold93.5	1.00530890862272	1.01348082165102
superscaffold93.4	1.00093408095432	1.00368528895736
superscaffold93.3	1.00085627054711	1.00275180360713
superscaffold93.2	1.00086865295546	1.0025188521115
superscaffold93.1	1.00401568956845	1.01461694183286
superscaffold69-1.31	1.0003288942548	1.0016211744899
superscaffold69-1.30	1.01311316607334	1.04537290240339
superscaffold69-1.29	1.00044535157498	1.00206512907432
superscaffold69-1.28	1.00829326393647	1.03008685286977
superscaffold69-1.27	1.00028569045887	1.00073158711284
superscaffold69-1.26	1.00238209516583	1.00927294861705
superscaffold69-1.25	1.00038766503225	1.00045890696223
superscaffold69-1.24	1.00031290313044	1.00142057048999
superscaffold69-1.23	1.00134802368826	1.0054633566772
superscaffold69-1.22	1.00090907331674	1.00374249662583
superscaffold69-1.21	1.00005045241828	1.0003576231491
superscaffold69-1.20	1.00039154846224	1.00122150491377
superscaffold69-1.19	1.00019560750857	1.00099113258081
superscaffold69-1.18	1.00037919829771	1.00187077097902
superscaffold69-1.17	1.00058094359017	1.00170594660852
superscaffold69-1.16	1.00103706895784	1.00416492011644
superscaffold69-1.15	1.00135285190763	1.00504754268253
superscaffold69-1.14	1.00115796173536	1.00423535645885
superscaffold69-1.13	1.00142041995969	1.00539329499457
superscaffold69-1.12	0.999831742922172	0.999921714259989
superscaffold69-1.11	1.00335133313014	1.0125475668183
superscaffold69-1.10	1.00197991010958	1.00751637971951
superscaffold69-1.9	1.00006419294628	1.00073933461181
superscaffold69-1.8	1.00002538575223	1.00009803172552
superscaffold69-1.7	1.00182401637618	1.00576379384621
superscaffold69-1.6	1.00176378862394	1.00684511313934
superscaffold69-1.5	1.00100905002001	1.00326954593108
superscaffold69-1.4	1.00000718485852	1.00015906130158
superscaffold69-1.3	1.00027293777773	1.00097946741998
superscaffold69-1.2	1.00089371096415	1.0029260905658
superscaffold69-1.1	1.00047782901212	1.00161586843087
superscaffold67.18	1.00027192762487	1.00048408070774
superscaffold67.17	1.00564075285051	1.01902369363212
superscaffold67.16	1.00065932859596	1.00293443665315
superscaffold67.15	1.00647378375008	1.02368646507461
superscaffold67.14	1.00003733360654	1.00048451798579
superscaffold67.13	1.00787276124667	1.0249793249327
superscaffold67.12	1.00027429421897	1.00094702620952
superscaffold67.11	1.00099414933768	1.00323371266121
superscaffold67.10	0.999949543007505	1.0003314858248
superscaffold67.9	1.00731966455702	1.0268540799987
superscaffold67.8	1.00260517236889	1.0099826179279
superscaffold67.7	1.00392955805494	1.01293865296933
superscaffold67.6	1.00276545290908	1.00961779201666
superscaffold67.5	1.00056451572552	1.00254959564924
superscaffold67.4	1.00234703942976	1.00715541933133
superscaffold67.3	1.00197142417724	1.00468838379454
superscaffold67.2	1.00057809633605	1.0017555928632
superscaffold67.1	1.00121531210028	1.00455946137615
superscaffold62.9	1.00029909626967	1.00129868796106
superscaffold62.8	0.999987148987189	1.00039414409192
superscaffold62.7	1.00630665994998	1.02309839469283
superscaffold62.6	1.00086058439627	1.00365528498173
superscaffold62.5	1.00067208907307	1.00252535180826
superscaffold62.4	0.999832274199136	0.999839423905688
superscaffold62.3	1.0068188374098	1.02185377071782
superscaffold62.2	1.00504312400728	1.01740347269894
superscaffold62.1	1.00078462739985	1.00085359042897
superscaffold36.12	1.00023407452671	1.0013761115868
superscaffold36.11	1.00024400747796	1.0006781670945
superscaffold36.10	1.00088222257135	1.0036326404454
superscaffold36.9	1.0034700880808	1.00967700339251
superscaffold36.8	1.00137394221593	1.0036324539789
superscaffold36.7	1.00061567571517	1.00199515462112
superscaffold36.6	1.00148581906896	1.00191959940538
superscaffold36.5	1.00108866527907	1.00279681624985
superscaffold36.4	1.00674034759457	1.0238073459309
superscaffold36.3	1.01542211764195	1.05476117149407
superscaffold36.2	1.02998253351199	1.09916040883419
superscaffold36.1	0.999976935907058	1.00017715419726
