scaffold	point_estimate	UPPER_CI
superscaffold54.31	1.00027155220302	1.00043213742896
superscaffold54.30	1.00013498266384	1.00097647905693
superscaffold54.29	1.00019709438789	1.00121342696346
superscaffold54.28	1.00131029738802	1.00442596731826
superscaffold54.27	1.00028791783734	1.00100180826345
superscaffold54.26	1.00105172441738	1.00424880627959
superscaffold54.25	1.0012657462891	1.00499793902158
superscaffold54.24	1.00031481007275	1.00110988962344
superscaffold54.23	1.00047500094045	1.00214236361182
superscaffold54.22	1.00142255452863	1.00573164306022
superscaffold54.21	1.0071848264608	1.02621069120429
superscaffold54.20	1.00034902171589	1.00111134132992
superscaffold54.19	1.0001336265225	1.00059822927216
superscaffold54.18	1.00001287341825	1.00040272717265
superscaffold54.17	1.00000200289843	1.00055376152071
superscaffold54.16	1.00181430336233	1.00704531038816
superscaffold54.15	1.0009783180405	1.00227077860423
superscaffold54.14	1.00096564048434	1.00390986715465
superscaffold54.13	1.00065050758544	1.00271821740331
superscaffold54.12	1.00095420363851	1.0038667766496
superscaffold54.11	1.00025298937449	1.00079969261476
superscaffold54.10	1.00782212026178	1.02753232555472
superscaffold54.9	1.00111339488983	1.00294642849848
superscaffold54.8	1.00255128334348	1.00972797019917
superscaffold54.7	1.00033053552265	1.00117308778369
superscaffold54.6	1.00001166214848	1.00048147481121
superscaffold54.5	1.00080035102375	1.00154373969188
superscaffold54.4	1.00917445712162	1.03339095554782
superscaffold54.3	0.99997997540592	1.00012380314439
superscaffold54.2	1.00405618176867	1.0150257903523
superscaffold54.1	1.00075394174578	1.00197939142591
superscaffold26.174	1.00598732275034	1.01947161815337
superscaffold26.173	1.00217325918196	1.0080396403656
superscaffold26.172	0.999897544844781	0.999952640130663
superscaffold26.171	1.00004666778148	1.00071955844487
superscaffold26.170	1.00093748915444	1.00233257369903
superscaffold26.169	1.01056707194679	1.03345975966905
superscaffold26.168	1.00046224366562	1.00183267550061
superscaffold26.167	1.00030371141334	1.00159857629191
superscaffold26.166	1.00036356545224	1.00158163135153
superscaffold26.165	1.00200946191804	1.00721829015837
superscaffold26.164	1.00140866224223	1.00463930420828
superscaffold26.163	1.00067610840351	1.0012562684349
superscaffold26.162	1.00168121776677	1.00604647213094
superscaffold26.161	1.00018861524474	1.0007848191087
superscaffold26.160	1.00042602312936	1.0013449209268
superscaffold26.159	1.0076504885635	1.01790612928892
superscaffold26.158	1.0099409314471	1.02878747351922
superscaffold26.157	1.05369982118871	1.14329311149149
superscaffold26.156	1.00568714016899	1.02084879675767
superscaffold26.155	1.00008407139327	1.00061503317788
superscaffold26.154	1.00589425965681	1.01375945298164
superscaffold26.153	1.00378670614668	1.01127931159068
superscaffold26.152	1.03127056928833	1.10024993603571
superscaffold26.151	1.00217302080687	1.00817307719119
superscaffold26.150	1.00565598036178	1.01956323242777
superscaffold26.149	1.00128519335423	1.00333184736253
superscaffold26.148	1.00090166526999	1.00311505188227
superscaffold26.147	1.002715928725	1.00764934295182
superscaffold26.146	1.00105215181783	1.00355774652457
superscaffold26.145	1.00753163322385	1.02485421462973
superscaffold26.144	1.01070036349681	1.03834614854956
superscaffold26.143	1.00590914341218	1.01845456566378
superscaffold26.142	1.00402191648846	1.01355109457836
superscaffold26.141	1.00348148486331	1.01194597099403
superscaffold26.140	1.0025131051135	1.00870932152374
superscaffold26.139	1.00001290455881	1.00057786530698
superscaffold26.138	1.00679557358148	1.02507513426105
superscaffold26.137	1.00039997874418	1.00194019209881
superscaffold26.136	1.00159304140661	1.00274830396424
superscaffold26.135	1.00370439971994	1.01222511448723
superscaffold26.134	1.00251826978232	1.00922999851151
superscaffold26.133	1.00075462617115	1.00285022752952
superscaffold26.132	1.00264549710418	1.0099696899181
superscaffold26.131	1.00224815483798	1.0078999157141
superscaffold26.130	1.0007838260288	1.00316648457801
superscaffold26.129	1.00111106705916	1.00243330673774
superscaffold26.128	1.00094588181387	1.00206692363125
superscaffold26.127	1.00089943598912	1.00386058438453
superscaffold26.126	1.00214335727704	1.00821479447879
superscaffold26.125	1.01000489497476	1.03394431876283
superscaffold26.124	1.00216426111265	1.00837873074579
superscaffold26.123	1.00288209601532	1.01092658610154
