scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold35.19.1	-1361454.27080458	15.2205606847169	-1361485.016	-1361464.41425	-1361453.9085	-1361443.9275	-1361425.16295	1081.2174768623
superscaffold35.18.1	-1337798.16186146	15.4832435435137	-1337829.0567	-1337808.53	-1337797.923	-1337787.49375	-1337768.356525	945.868071505106
superscaffold35.17.1	-1329239.9262075	14.053574770256	-1329269.04325	-1329248.78575	-1329239.359	-1329230.368	-1329214.15195	892.233621739567
superscaffold35.16.1	-1373280.03718729	10.3889084885872	-1373300.9516	-1373286.88125	-1373279.8855	-1373272.98875	-1373260.12595	3533.79857872587
superscaffold35.15.1	-1351839.27088729	12.6090699353732	-1351865.184875	-1351847.5335	-1351838.75	-1351830.653	-1351815.81165	1735.51774785518
superscaffold35.14.1	-1372232.68213	14.2921230080089	-1372259.249475	-1372242.5385	-1372232.9075	-1372223.38575	-1372203.497	1075.40152132307
superscaffold35.13.1	-1356166.39460375	14.3482009156914	-1356193.6862	-1356176.30975	-1356166.7485	-1356156.68425	-1356137.149825	912.483429375701
superscaffold35.12.1	-1350144.15660333	12.4830964141913	-1350169.4209	-1350152.408	-1350143.9445	-1350135.456	-1350120.2859	1518.86363329941
superscaffold35.11.1	-1455674.99804854	12.393610691936	-1455700.1157	-1455683.00525	-1455674.81	-1455666.59825	-1455651.944775	584.851573933839
superscaffold35.10.1	-1357349.67475562	16.0526135160354	-1357381.810375	-1357360.454	-1357349.924	-1357338.3875	-1357318.938275	349.410262983807
superscaffold35.9.1	-1301572.21304625	12.9580815305108	-1301597.275525	-1301581.0775	-1301572.16	-1301563.26925	-1301547.2276	2252.1348334584
superscaffold35.8.1	-1364117.32826042	13.6857096743884	-1364144.380725	-1364126.347	-1364117.302	-1364108.15625	-1364091.3747	1499.85025273042
superscaffold35.7.1	-1293592.90260958	12.8944691941622	-1293619.182275	-1293601.37125	-1293592.7715	-1293583.948	-1293569.028075	539.51821799675
superscaffold35.6.1	-1385947.47594292	14.3700134967176	-1385975.508425	-1385957.08625	-1385947.3425	-1385937.89125	-1385919.661975	1010.21129714945
superscaffold35.5.1	-1279686.43178646	13.6283420758131	-1279713.1704	-1279695.879	-1279686.3505	-1279677.03275	-1279660.2358	1045.92312013994
superscaffold35.4.1	-1343133.55500146	14.0947288126133	-1343162.301775	-1343142.8625	-1343133.0625	-1343123.87175	-1343107.10575	1017.87402979962
superscaffold35.3.1	-1242653.85781042	13.5541384496479	-1242680.953225	-1242662.88175	-1242653.573	-1242644.74575	-1242627.540925	1600.38290105156
superscaffold35.2.1	-1353924.34015042	10.9260621728131	-1353945.753	-1353931.591	-1353924.535	-1353916.931	-1353902.637375	2360.68953326129
superscaffold35.1.1	-1323088.07909896	11.1141764710519	-1323109.429075	-1323095.49125	-1323088.274	-1323080.993	-1323065.80245	2088.90433108264
