scaffold	point_estimate	UPPER_CI
superscaffold54.105	1.00026421236532	1.00139636993221
superscaffold54.104	1.00158559707131	1.00516394086218
superscaffold54.103	1.00104560731166	1.0038877463093
superscaffold54.102	1.28915633226915	1.79413912293076
superscaffold54.101	1.00659187959246	1.02444220593162
superscaffold54.100	1.00680408392715	1.02005488251324
superscaffold54.99	1.00133639361721	1.00345257805068
superscaffold54.98	1.00110984331508	1.0012189396991
superscaffold54.97	1.01291791738097	1.0280829097177
superscaffold54.96	1.00042726213481	1.00121736468619
superscaffold54.95	1.00165262874376	1.00540324938066
superscaffold54.94	1.00044662725475	1.00132108514801
superscaffold54.93	1.00043150193455	1.00213677360245
superscaffold54.92	1.00094889080333	1.00275493435385
superscaffold54.91	1.00059019664734	1.00237109750663
superscaffold54.90	1.00141625489227	1.00555563033848
superscaffold54.89	1.03588461927136	1.11012916385083
superscaffold54.88	1.00329763236524	1.01194376844592
superscaffold54.87	1.00318161365757	1.01083156933586
superscaffold54.86	1.00053043893209	1.00239570416529
superscaffold54.85	1.00012762385667	1.00066338445838
superscaffold54.84	1.00155216870137	1.00499498089367
superscaffold54.83	1.00067639482842	1.00107870960835
superscaffold54.82	1.0080620179558	1.02813320589679
superscaffold54.81	1.00266346066113	1.00902362557026
superscaffold54.80	1.0009136887348	1.00261110606154
superscaffold54.79	1.00250211807303	1.00564401347091
superscaffold54.78	1.00062952612958	1.00234431008165
superscaffold54.77	1.00040373016524	1.00194528770524
superscaffold54.76	1.00184598417778	1.00511823974591
superscaffold54.75	1.00052765814951	1.002465020186
superscaffold54.74	1.00120257340867	1.00310258246338
superscaffold54.73	1.00896623302295	1.02918153679917
superscaffold54.72	1.01634373094818	1.04927155346515
superscaffold54.71	1.0017733537719	1.00366897161122
superscaffold54.70	1.00265163527453	1.00960586794058
superscaffold54.69	1.00010570488542	1.000225336176
superscaffold54.68	0.999978302635653	1.00018659309079
superscaffold54.67	1.00596048551344	1.02163445378662
superscaffold54.66	1.00732858458404	1.02511055530956
superscaffold54.65	1.00417602955124	1.01564097098351
superscaffold54.64	1.00303114038852	1.01045899864664
superscaffold54.63	1.00060348447216	1.00215905756055
superscaffold54.62	1.00042889690272	1.0017415793866
superscaffold54.61	1.00044267862798	1.0019953376237
superscaffold54.60	1.00844695937747	1.02875683560033
superscaffold54.59	1.00174639497152	1.00627567836276
superscaffold54.58	1.00000325810617	1.00004575469811
superscaffold54.57	1.00046097109746	1.00103893924743
superscaffold54.56	0.999995635099853	1.00008208595951
superscaffold54.55	1.00165899507691	1.00562105816505
superscaffold54.54	1.00116396596134	1.0038837183676
superscaffold54.53	1.00052682767499	1.00098251791276
superscaffold54.52	1.00326738713323	1.01227123778805
superscaffold54.51	1.00013949505291	1.00052937606219
superscaffold54.50	1.00423510021235	1.01597205807621
superscaffold54.49	1.00111185428889	1.00423295126795
superscaffold54.48	1.01101383389217	1.03629002451727
superscaffold54.47	1.00102186649923	1.00425528946769
superscaffold54.46	1.00043896982938	1.00202888982591
superscaffold54.45	1.00501307369805	1.01707518627202
superscaffold54.44	1.00219809653085	1.00791360930633
superscaffold54.43	1.00000141734657	1.00055883754072
superscaffold54.42	1.00046150236698	1.00082099402601
superscaffold54.41	1.00088587974374	1.00279432246547
superscaffold54.40	0.999881242226477	1.00010087715102
superscaffold54.39	1.01203737008204	1.0413704917493
superscaffold54.38	1.00021603571172	1.00039618066514
superscaffold54.37	1.00047428183296	1.00229186148919
superscaffold54.36	1.00060060987741	1.00213483109687
superscaffold54.35	1.00078917379718	1.00156989882995
superscaffold54.34	1.00332193242318	1.01239530781527
superscaffold54.33	1.00179989312657	1.00626130309861
superscaffold54.32	1.00054406274504	1.00240574326018
superscaffold54.31	1.00009135839799	1.00032758057728
superscaffold54.30	1.00133317477742	1.00433949768206
superscaffold54.29	1.00057835598784	1.00129112558202
superscaffold54.28	1.0013672244163	1.00491148743507
superscaffold54.27	1.00013715734205	1.00101495740425
superscaffold54.26	1.00409150660166	1.01063643375306
superscaffold54.25	1.00213420602378	1.00684541937376
superscaffold54.24	1.00229687625544	1.00871282144948
superscaffold54.23	1.0003188073479	1.00135379163271
superscaffold54.22	1.00464820739121	1.01387752618591
superscaffold54.21	1.0049951752676	1.01868933453727
superscaffold54.20	1.00229093115951	1.00829524117315
superscaffold54.19	1.00082753667271	1.00355448640874
superscaffold54.18	1.000057305914	1.00060783973441
superscaffold54.17	0.999844193268944	0.999958619481026
superscaffold54.16	1.00116406632751	1.00369658196362
superscaffold54.15	0.999891090845517	0.999917149063236
superscaffold54.14	1.00062448005427	1.00122829666736
superscaffold54.13	1.00020110301523	1.00025104016813
superscaffold54.12	1.00202330547565	1.0069416083543
superscaffold54.11	1.00159163518742	1.00631906992549
superscaffold54.10	1.00452604141936	1.01637334288173
superscaffold54.9	1.00074623622544	1.0023537189688
superscaffold54.8	1.00378920527457	1.01406852980307
superscaffold54.7	0.999954975026643	1.00004014848694
superscaffold54.6	1.00222687582431	1.00850865364858
superscaffold54.5	1.00402034180704	1.01296461329657
superscaffold54.4	1.00077691858895	1.00259824737063
superscaffold54.3	1.00094332467486	1.00268543639511
superscaffold54.2	1.0016466822668	1.00551051149524
superscaffold54.1	1.00167107981958	1.0029817988755
superscaffold26.174	1.00615546032928	1.01334146262014
superscaffold26.173	1.00201748598147	1.00726586525254
superscaffold26.172	1.00291431300425	1.01083119015846
superscaffold26.171	1.0006472360152	1.00090622073473
superscaffold26.170	1.02809083908728	1.09671653504194
superscaffold26.169	1.01030299522854	1.03388479989366
superscaffold26.168	1.00025062230229	1.00119946345448
superscaffold26.167	1.00095281189071	1.00261122390227
superscaffold26.166	1.00109450922756	1.00419729098766
superscaffold26.165	1.00430400791141	1.01460334038759
superscaffold26.164	1.00793922244981	1.02906962249814
superscaffold26.163	1.00504955056925	1.01547897438819
superscaffold26.162	1.00455700860413	1.01106464219743
superscaffold26.161	1.00133689620909	1.00307374879002
superscaffold26.160	1.08019590047791	1.24551784722882
superscaffold26.159	1.00587604669142	1.02080789075089
superscaffold26.158	1.00454865674479	1.01525013697076
superscaffold26.157	1.39331881785373	2.14491113516942
superscaffold26.156	1.00425064911752	1.01193596766487
superscaffold26.155	1.00169627768531	1.0056573522057
superscaffold26.154	1.00811497767942	1.02691964634143
superscaffold26.153	1.02233363055692	1.07292280884602
superscaffold26.152	1.01813269963958	1.04573435373277
superscaffold26.151	1.00156835004737	1.00510257770462
superscaffold26.150	1.00091453950797	1.00231669557543
superscaffold26.149	0.999902199157699	1.00015565068788
superscaffold26.148	1.01693164186672	1.05673585517325
superscaffold26.147	1.02014447311219	1.06428438236139
superscaffold26.146	1.00601647427113	1.01118361391912
superscaffold26.145	1.0093305912268	1.03080672956209
superscaffold26.144	1.01073304091624	1.03632851389409
superscaffold26.143	1.00243800396351	1.00825111586567
superscaffold26.142	1.00214124750935	1.00503106104869
superscaffold26.141	1.0096069124308	1.0324948025501
superscaffold26.140	1.02277240703066	1.08008039010564
superscaffold26.139	1.00065691423784	1.00282881688369
superscaffold26.138	0.999894977124465	1.00008345391502
superscaffold26.137	1.00158328630013	1.00586469825266
superscaffold26.136	1.00051657266677	1.00219856110069
superscaffold26.135	1.00277007708402	1.00780832776752
