scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold83.2.1	-573067.406090417	11.9397248445581	-573090.329225	-573075.02025	-573067.6815	-573059.75425	-573043.514825	896.91238068647
superscaffold83.1.1	-621883.703205417	12.706871849398	-621908.3006	-621892.47625	-621883.8295	-621875.5885	-621857.606875	1048.33861436568
superscaffold88.2.1	-339966.93258375	10.5609403393787	-339988.58815	-339973.86025	-339966.716	-339959.59275	-339947.476575	806.564903383438
superscaffold88.1.1	-675237.255012083	13.3166637519409	-675264.8215	-675246.247	-675236.71	-675227.7395	-675213.061775	603.675543429152
superscaffold63.11.1	-349147.87126625	9.80653031067912	-349168.53345	-349154.024	-349147.1395	-349141.18825	-349130.223825	1128.08273195208
superscaffold63.10.1	-851071.952784792	13.0802771614628	-851098.5912	-851080.60475	-851071.4335	-851062.8935	-851047.2909	1330.56576529712
superscaffold63.9.1	-828630.88186875	12.0811402498126	-828654.98695	-828638.8265	-828630.5685	-828622.4235	-828608.0748	2038.54666506327
superscaffold63.8.1	-721170.038540417	11.4794294020105	-721193.3185	-721177.5825	-721169.9615	-721162.22775	-721147.58995	2192.08420307067
superscaffold63.7.1	-778469.83279625	11.836170968915	-778493.4099	-778477.7455	-778469.7525	-778461.86125	-778446.48335	2197.73722952335
superscaffold63.6.1	-807610.457804583	15.6410696622117	-807642.919325	-807620.491	-807610.08	-807599.84875	-807581.0126	650.381209096674
superscaffold63.5.1	-713201.990329583	10.3919985533597	-713222.091775	-713208.85675	-713202.109	-713195.132	-713181.53065	2318.8612801788
superscaffold63.4.1	-630329.184730208	12.0021583978831	-630351.3778	-630337.31625	-630329.649	-630321.55275	-630304.033775	563.264499341348
superscaffold63.3.1	-669992.099783542	14.5989578107861	-670019.219725	-670002.08625	-669993.269	-669982.89275	-669961.2168	303.728726888505
superscaffold63.2.1	-841882.895821667	11.2431771168958	-841906.048025	-841890.22825	-841882.4315	-841874.97925	-841862.159225	1788.51265825682
superscaffold63.1.1	-883931.907049792	13.4757100372163	-883959.287225	-883940.8405	-883931.686	-883922.5645	-883906.0784	1605.4965917632
superscaffold93.29.1	-249931.891478958	5.56884872168309	-249943.272075	-249935.45425	-249931.875	-249928.23225	-249920.6816	1814.97062043812
superscaffold93.28.1	-839850.33018	9.66120104675698	-839869.2475	-839856.741	-839850.273	-839843.72825	-839831.437925	3203.3065259541
superscaffold93.27.1	-762952.632972292	11.0429013116157	-762973.78865	-762960.0775	-762953.086	-762945.4835	-762930.3451	42.1127903625923
superscaffold93.26.1	-832188.879030208	11.5410420256327	-832212.52425	-832196.43225	-832188.4175	-832181.21425	-832166.81085	1649.74565453272
superscaffold93.25.1	-876406.277971458	11.9574109361562	-876430.9997	-876413.99025	-876405.8	-876398.21875	-876384.3025	1398.80671781539
superscaffold93.24.1	-801403.414483125	11.843387156676	-801426.373275	-801411.49275	-801403.621	-801395.36375	-801380.151475	1715.08399442663
superscaffold93.23.1	-674506.670097917	12.1408016233136	-674534.89065	-674513.4125	-674505.0455	-674498.383	-674486.5259	406.141769030405
superscaffold93.22.1	-777864.528140417	11.1268333629601	-777888.353725	-777871.4755	-777863.9065	-777856.93825	-777844.1468	1596.97727736083
superscaffold93.21.1	-746973.127480833	9.54703878374255	-746992.91035	-746979.279	-746972.9275	-746966.706	-746954.70985	2599.54926886583
superscaffold93.20.1	-774845.407189167	9.82118717991325	-774864.8344	-774852.011	-774845.3775	-774838.73675	-774826.17095	977.89953483248
superscaffold93.19.1	-834490.35575125	10.6389882359027	-834511.5498	-834497.50675	-834490.1405	-834482.9845	-834470.3076	2310.023344224
superscaffold93.18.1	-752714.312882083	13.3856128224943	-752742.158925	-752722.92975	-752713.739	-752705.35325	-752689.093975	1170.27583991809
superscaffold93.17.1	-635915.41240625	9.16028658808707	-635933.55895	-635921.60725	-635915.1245	-635909.206	-635897.594725	2583.21339259982
superscaffold93.16.1	-542332.309702917	11.4739781586885	-542356.695075	-542339.81625	-542331.4605	-542323.79675	-542312.183475	861.800813693221
superscaffold93.15.1	-404137.618800208	11.3269838829787	-404161.45845	-404144.97825	-404137.075	-404129.6345	-404117.394525	95.589582542721
superscaffold93.14.1	-624620.935544792	12.3544968854778	-624644.868625	-624629.39225	-624621.226	-624612.6285	-624596.55405	1267.3360535096
superscaffold93.13.1	-513891.5603675	12.1863041961533	-513917.64135	-513899.5625	-513890.6995	-513882.99625	-513870.337575	559.044955269644
superscaffold93.12.1	-523842.463227708	12.4914966474913	-523867.33875	-523850.7975	-523842.0895	-523833.98975	-523819.083975	1289.30219734999
superscaffold93.11.1	-429865.498596042	18.2134262105827	-429898.478025	-429878.71125	-429866.182	-429853.51	-429828.71665	108.248236796805
superscaffold93.10.1	-403501.084375417	10.5951589130167	-403520.8195	-403509.15725	-403501.295	-403492.86825	-403481.607475	518.878081244671
superscaffold93.9.1	-584333.420333958	18.1191789864169	-584366.07245	-584346.97725	-584334.263	-584320.3965	-584297.719925	184.221066757404
superscaffold93.8.1	-726738.869645	14.7604923327515	-726768.30335	-726748.947	-726738.1935	-726728.65475	-726711.529225	212.240951085613
superscaffold93.7.1	-784918.161168125	8.21691907565802	-784934.85215	-784923.70525	-784917.848	-784912.38975	-784903.232775	3660.33564458321
superscaffold93.6.1	-806033.744085208	10.935569096452	-806056.241725	-806040.6465	-806033.3355	-806026.45075	-806013.513725	1142.32260984073
superscaffold93.5.1	-806661.897510833	14.7878252084966	-806693.0502	-806671.7315	-806660.891	-806651.6985	-806635.362375	604.117140601614
superscaffold93.4.1	-626265.384283542	12.2997964199877	-626291.54625	-626273.47025	-626264.804	-626256.4285	-626243.264525	827.249584008055
superscaffold93.3.1	-628499.422297708	13.2477696881973	-628526.864425	-628507.9725	-628498.839	-628490.48975	-628474.14045	988.713650619979
superscaffold93.2.1	-620561.304326042	11.7537257776734	-620584.797725	-620569.04925	-620561.0085	-620553.47425	-620538.467325	1022.40529724346
superscaffold93.1.1	-750061.604217292	14.001769922996	-750087.976125	-750071.162	-750062.145	-750052.28925	-750033.225425	454.261427841465
superscaffold69-1.31.1	-568054.847165833	10.5298637819143	-568077.58835	-568061.4735	-568054.4185	-568047.662	-568035.25	1273.83870575658
superscaffold69-1.30.1	-755679.587105625	14.2053124327861	-755707.4121	-755689.29425	-755679.518	-755669.4655	-755653.020875	252.338561990587
superscaffold69-1.29.1	-740720.4412475	11.7735847576253	-740744.292325	-740728.29525	-740720.0335	-740712.26025	-740698.04675	1551.74523972245
superscaffold69-1.28.1	-787160.782887917	9.87014645035114	-787180.55005	-787167.3865	-787160.6125	-787153.8305	-787142.46395	793.393631677951
superscaffold69-1.27.1	-812610.837209792	9.86263815434635	-812631.492325	-812617.438	-812610.289	-812604.103	-812592.53725	1580.83439718007
superscaffold69-1.26.1	-798159.112346667	12.2220681985861	-798184.925025	-798166.93	-798158.638	-798150.478	-798137.22695	1185.84252718856
superscaffold69-1.25.1	-773996.251064375	11.701848124643	-774019.9404	-774003.98725	-773996.0345	-773988.12725	-773974.216225	1866.22099678147
superscaffold69-1.24.1	-866609.023834792	12.173637857534	-866633.095075	-866617.34975	-866608.742	-866600.7425	-866585.997525	1980.69516874547
superscaffold69-1.23.1	-782664.542670833	12.7367576917526	-782689.465175	-782672.96325	-782664.706	-782655.89775	-782640.014625	1716.73438659714
superscaffold69-1.22.1	-825881.27183	11.8986096563236	-825905.158725	-825889.13	-825881.266	-825873.37675	-825857.956625	1426.21555453514
superscaffold69-1.21.1	-863821.002685833	10.1606775211661	-863840.6904	-863827.805	-863821.0465	-863814.2225	-863800.6191	2861.55516411805
superscaffold69-1.20.1	-710444.361266042	9.03043564283604	-710463.129225	-710450.2895	-710443.891	-710438.178	-710427.34675	4110.43154857333
superscaffold69-1.19.1	-805614.632368958	9.98752947664148	-805633.866375	-805621.4695	-805614.646	-805608.223	-805594.3239	3204.90835751218
superscaffold69-1.18.1	-856063.999110417	11.840955871232	-856087.988125	-856071.715	-856063.9595	-856056.1995	-856040.418525	1408.62893176407
superscaffold69-1.17.1	-823111.859755208	11.246535013312	-823133.916475	-823119.26825	-823111.812	-823104.21975	-823090.0034	2576.87431440646
superscaffold69-1.16.1	-924695.91587375	13.2619056083251	-924722.05135	-924705.11475	-924695.899	-924686.6905	-924670.050725	1097.57651244483
superscaffold69-1.15.1	-824804.623303958	12.0307612115334	-824828.7421	-824812.706	-824804.463	-824796.4395	-824781.693225	502.691713665724
superscaffold69-1.14.1	-805157.573086458	12.830925627444	-805182.959725	-805166.4695	-805157.5375	-805148.30775	-805133.45435	291.761758215696
superscaffold69-1.13.1	-774306.027494167	11.25952676108	-774328.023575	-774313.43925	-774306.0975	-774298.4145	-774283.7412	1998.14433037564
superscaffold69-1.12.1	-645767.589166458	12.6235807290734	-645793.467925	-645775.79975	-645767.2915	-645758.9945	-645743.94215	1306.38144510483
superscaffold69-1.11.1	-690415.820274583	9.62659082153196	-690434.118325	-690422.647	-690416.1075	-690409.1625	-690397.1272	1245.26131887828
superscaffold69-1.10.1	-747075.826657708	10.1370291463657	-747095.393575	-747082.6375	-747075.774	-747069.12375	-747055.8507	2630.51667366985
superscaffold69-1.9.1	-763767.622072083	11.5648603084862	-763791.08695	-763775.15125	-763767.5405	-763759.43125	-763745.946	1599.17173480939
superscaffold69-1.8.1	-736894.722322708	12.361630202283	-736918.732875	-736903.15625	-736894.6175	-736886.318	-736871.36315	1770.43045710057
superscaffold69-1.7.1	-764440.631950833	11.7292747885133	-764463.83225	-764448.541	-764440.4965	-764432.53075	-764417.949125	758.238140052508
superscaffold69-1.6.1	-714001.402015208	11.9013249042418	-714024.811225	-714009.428	-714001.3915	-713993.28475	-713978.774575	1077.08198180807
superscaffold69-1.5.1	-744244.711898125	11.5385630206361	-744267.366025	-744252.27725	-744244.6505	-744236.78975	-744222.595025	1814.52275375971
superscaffold69-1.4.1	-760068.798856458	14.3434297893829	-760096.051475	-760078.68925	-760068.958	-760058.68975	-760041.312175	504.303123850061
