scaffold	mean	SD	2.5	25	50	75	97.5	ESS
superscaffold35.8.1	242.956049791667	5.15837078345801	233.07495	239.44775	242.8345	246.30925	253.36125	4528.08059845674
superscaffold35.7.1	149.772368958333	3.74971950167376	142.774875	147.16575	149.6205	152.2905	157.417975	4032.51430046951
superscaffold35.6.1	180.430592083333	5.11874908476776	170.986275	176.8505	180.1905	183.797	190.859125	4800
superscaffold35.5.1	167.537748333333	5.93051200924575	157.024875	163.453	167.1115	171.23375	180.1555	4800
superscaffold35.4.1	164.003471458333	4.32551862717746	155.966825	161.03725	163.8365	166.8495	173.05625	4552.82882717399
superscaffold35.3.1	103.632513125	2.25896774003192	99.22385	102.1205	103.582	105.16225	108.1943	3120.59472526393
superscaffold35.2.1	138.665573333333	3.22628146117468	132.548775	136.464	138.5985	140.77625	145.30515	4592.10811299522
superscaffold35.1.1	121.425825416667	2.73829982492294	116.165925	119.577	121.383	123.2685	126.942175	4359.64676957834
superscaffold54.105.1	4.02796416666667	0.730933142333487	2.869975	3.51175	3.9535	4.426	5.74415	4800
superscaffold54.104.1	71.0113672916667	1.738800926053	67.676775	69.79675	71.0065	72.1675	74.4632	4800.00000000001
superscaffold54.103.1	110.518144166667	3.90947023770954	103.340275	107.7965	110.4425	113.05525	118.459525	4799.99999999999
superscaffold54.102.1	123.284910833333	4.97410903446795	114.229975	119.82	123.012	126.5015	133.66505	4799.99999999999
superscaffold54.101.1	116.745324375	2.2800782623095	112.247275	115.213	116.6865	118.223	121.303125	3512.5617403687
superscaffold54.100.1	106.29872875	1.82284686522704	102.86695	105.03475	106.252	107.512	109.963075	3787.01505106136
superscaffold54.99.1	102.374960833333	2.04809382856796	98.452975	100.95125	102.366	103.7575	106.305075	4799.99999999999
superscaffold54.98.1	77.204653125	1.7774966041711	73.909	75.94	77.1575	78.38125	80.8461	4348.56211452794
superscaffold54.97.1	98.9290985416667	2.02331295351304	95.05685	97.5165	98.9245	100.303	102.929175	3920.37031641962
superscaffold54.96.1	96.9491635416667	1.9021265260854	93.295825	95.63375	96.934	98.24725	100.680075	4088.6164681358
superscaffold54.95.1	88.9876439583333	2.62774948053848	84.5879	87.21675	88.7135	90.38325	95.0511	3589.99423286447
superscaffold54.94.1	113.683779375	2.64780931343561	108.614875	111.89175	113.62	115.43175	119.1086	3833.5522718382
superscaffold54.93.1	121.637605625	2.63021717325881	116.61685	119.8655	121.523	123.3765	127.17305	4800
superscaffold54.92.1	85.4554710416667	1.69077733022635	82.2859	84.286	85.4255	86.602	88.81545	1473.95652261491
superscaffold54.91.1	139.5014475	2.71751696733578	134.33465	137.62275	139.509	141.32	144.944025	4800
superscaffold54.90.1	148.14384125	2.62463638827692	143.139775	146.35875	148.139	149.86	153.432625	4591.80325834997
superscaffold54.89.1	88.369464375	1.93885993981076	84.75495	87.027	88.332	89.6485	92.315275	4059.60439055791
superscaffold54.88.1	117.403139583333	2.33043176760868	112.946875	115.81175	117.404	118.99075	121.920025	4010.4229432123
superscaffold54.87.1	95.6522814583333	1.85210068726622	92.090875	94.395	95.638	96.82875	99.44915	4401.79775500984
superscaffold54.86.1	121.132205833333	3.32046234703702	115.221975	118.795	120.9725	123.30525	127.927225	4301.37318634945
superscaffold54.85.1	189.825765208333	4.72472512498294	180.921975	186.597	189.6505	192.979	199.431525	3324.34669423313
superscaffold54.84.1	165.669503333333	4.02339014747476	157.8129	162.90275	165.6235	168.37625	173.67115	4800.00000000002
superscaffold54.83.1	84.1598677083333	1.81676782927471	80.70275	82.87875	84.172	85.36125	87.877	4248.96201159051
superscaffold54.82.1	89.5721729166667	1.892114551454	85.96165	88.255	89.5395	90.827	93.363075	4159.80976395612
superscaffold54.81.1	142.714369375	3.43629777299406	136.084075	140.377	142.64	145.02325	149.5842	2445.95324971589
superscaffold54.80.1	223.059876875	5.53587284348586	212.87265	219.1805	222.8215	226.7995	234.2898	3981.69894193903
superscaffold54.79.1	219.51093	5.64710455285699	208.814	215.6235	219.325	223.25525	231.071725	4423.84559054435
superscaffold54.78.1	227.234545	6.5951991737744	214.67095	222.732	227.1555	231.54	240.6858	4799.99999999999
superscaffold54.77.1	238.353813333333	6.44576192744717	225.9284	233.995	238.251	242.6685	250.959275	4800
superscaffold54.76.1	205.9285675	4.78992369235297	196.977875	202.67025	205.8725	208.93325	215.715	3991.49028146975
superscaffold54.75.1	206.739299375	6.14186896153393	195.010325	202.52775	206.6215	210.81575	219.2094	4471.19273683376
superscaffold54.74.1	134.983272083333	3.84934893655988	128.079025	132.329	134.8655	137.41925	142.90485	4321.06550928602
superscaffold54.73.1	138.57690375	2.99498802935937	132.743725	136.54675	138.547	140.5245	144.539625	4800.00000000002
superscaffold54.72.1	145.452881041667	3.37668415945373	139.03365	143.1875	145.4145	147.65975	152.231325	4153.02937047424
superscaffold54.71.1	97.54317875	2.49142987038533	92.9838	95.809	97.4645	99.15525	102.76505	4799.99999999999
superscaffold54.70.1	88.145445	2.12890598421318	84.162925	86.67775	88.0965	89.48225	92.57305	3497.96814418138
superscaffold54.69.1	118.24451875	2.79304139001879	112.94885	116.3	118.1885	120.15475	123.81605	3816.77333634514
